,name,date,null_px,snow_px,cloud_px,shadow_px,vegetation_px,not_vegetation_px,water_px,uncertain_px
258,southern_cairngorms,2019-09-23 11:43:49,0,49588,677900,46512,40333,8815,1320,96803
259,beinn_dearg,2019-09-23 11:43:49,0,1397,102220,11,0,0,0,33
260,northern_cairngorms,2023-01-24 11:23:41,1324595,0,0,0,0,0,0,0
261,monadh_liath,2023-01-24 11:23:41,851717,0,0,0,0,0,0,0
262,southern_cairngorms,2023-01-24 11:23:41,921271,0,0,0,0,0,0,0
263,beinn_dearg,2023-01-24 11:23:41,103661,0,0,0,0,0,0,0
264,northern_cairngorms,2021-10-22 11:43:49,0,130425,898089,166445,13220,1680,1737,112999
265,monadh_liath,2021-10-22 11:43:49,0,10698,424959,191513,106908,2215,146,115278
266,southern_cairngorms,2021-10-22 11:43:49,0,17313,343226,228167,197776,15888,7044,111857
267,beinn_dearg,2021-10-22 11:43:49,0,3,54211,8891,18670,2712,0,19174
268,northern_cairngorms,2022-08-13 11:44:01,0,0,359530,184778,708994,56576,2193,12524
269,monadh_liath,2022-08-13 11:44:01,0,0,243721,378,605913,1558,0,147
270,southern_cairngorms,2022-08-13 11:44:01,0,0,133685,10191,763184,6992,5779,1440
271,beinn_dearg,2022-08-13 11:44:01,0,0,55567,5,46668,1419,0,2
272,northern_cairngorms,2022-10-16 11:21:21,1324595,0,0,0,0,0,0,0
273,monadh_liath,2022-10-16 11:21:21,851717,0,0,0,0,0,0,0
274,southern_cairngorms,2022-10-16 11:21:21,921271,0,0,0,0,0,0,0
275,beinn_dearg,2022-10-16 11:21:21,103661,0,0,0,0,0,0,0
276,northern_cairngorms,2021-12-03 11:34:41,0,578531,365587,157046,400,198,149098,73735
277,monadh_liath,2021-12-03 11:34:41,0,410615,170612,63366,21647,16695,39258,129524
278,southern_cairngorms,2021-12-03 11:34:41,0,273236,164532,146366,16885,3580,149193,167479
279,beinn_dearg,2021-12-03 11:34:41,0,64913,27753,2703,40,0,6513,1739
280,northern_cairngorms,2018-10-02 11:21:09,1324595,0,0,0,0,0,0,0
281,monadh_liath,2018-10-02 11:21:09,851717,0,0,0,0,0,0,0
282,southern_cairngorms,2018-10-02 11:21:09,921271,0,0,0,0,0,0,0
283,beinn_dearg,2018-10-02 11:21:09,103661,0,0,0,0,0,0,0
284,northern_cairngorms,2020-08-12 11:21:19,1324595,0,0,0,0,0,0,0
285,monadh_liath,2020-08-12 11:21:19,851717,0,0,0,0,0,0,0
286,southern_cairngorms,2020-08-12 11:21:19,921271,0,0,0,0,0,0,0
287,beinn_dearg,2020-08-12 11:21:19,103661,0,0,0,0,0,0,0
288,northern_cairngorms,2020-04-07 11:33:19,0,349038,119973,25731,495306,230141,3813,100593
289,monadh_liath,2020-04-07 11:33:19,0,341941,35478,16073,264706,102554,1528,89437
290,southern_cairngorms,2020-04-07 11:33:19,0,100236,46063,53706,462779,196129,7492,54866
291,beinn_dearg,2020-04-07 11:33:19,2,46158,3684,2436,19966,20197,378,10840
292,northern_cairngorms,2018-04-05 11:21:09,1324595,0,0,0,0,0,0,0
293,monadh_liath,2018-04-05 11:21:09,851717,0,0,0,0,0,0,0
294,southern_cairngorms,2018-04-05 11:21:09,921271,0,0,0,0,0,0,0
295,beinn_dearg,2018-04-05 11:21:09,103661,0,0,0,0,0,0,0
296,northern_cairngorms,2020-01-18 11:33:19,0,250540,743366,145559,38229,27847,30695,88359
297,monadh_liath,2020-01-18 11:33:19,0,556711,203287,20865,426,19,45094,25315
298,southern_cairngorms,2020-01-18 11:33:19,0,200522,109135,262489,88128,64709,46554,149734
299,beinn_dearg,2020-01-18 11:33:19,0,72757,15850,5466,233,0,869,8486
300,northern_cairngorms,2018-04-01 11:43:49,0,683165,252420,104331,91217,45558,9556,138348
301,monadh_liath,2018-04-01 11:43:49,0,497531,103516,40659,107032,51669,911,50399
302,southern_cairngorms,2018-04-01 11:43:49,0,471619,123969,29380,93743,26591,6304,169665
303,beinn_dearg,2018-04-01 11:43:49,0,80585,4404,3367,4122,5726,559,4898
304,northern_cairngorms,2021-07-01 11:33:19,6,1291,562,2156,1176234,136332,5461,2553
305,monadh_liath,2021-07-01 11:33:19,0,0,23433,3622,798771,17904,487,7500
306,southern_cairngorms,2021-07-01 11:33:19,0,53,56,1271,899159,13098,6824,810
307,beinn_dearg,2021-07-01 11:33:19,0,24,75186,4953,14633,3783,0,5082
308,northern_cairngorms,2022-12-05 11:24:41,1324595,0,0,0,0,0,0,0
309,monadh_liath,2022-12-05 11:24:41,851717,0,0,0,0,0,0,0
310,southern_cairngorms,2022-12-05 11:24:41,921271,0,0,0,0,0,0,0
311,beinn_dearg,2022-12-05 11:24:41,103661,0,0,0,0,0,0,0
312,northern_cairngorms,2023-05-29 11:21:19,1324595,0,0,0,0,0,0,0
313,monadh_liath,2023-05-29 11:21:19,851717,0,0,0,0,0,0,0
314,southern_cairngorms,2023-05-29 11:21:19,921271,0,0,0,0,0,0,0
315,beinn_dearg,2023-05-29 11:21:19,103661,0,0,0,0,0,0,0
316,northern_cairngorms,2018-09-23 11:43:41,0,353276,738212,73425,83149,2138,27,74368
317,monadh_liath,2018-09-23 11:43:41,0,90721,225581,85727,383866,6956,146,58720
318,southern_cairngorms,2018-09-23 11:43:41,0,9643,180877,134071,506615,24020,5034,61011
